FANG PLAY/FANG.md3 3.0 0.0
PLAYERFANG PLAY/FANG.md3 3.0 0.0
AMY PLAY/AMY.md3 3.0 0.0
ROSY PLAY/AMY.md3 3.0 0.0
METALSONIC PLAY/METAL_SONIC.md3 3.0 0.0
KNUCKLES PLAY/KNUCKLES.md3 3.0 0.0
SONIC PLAY/SONIC.md3 3.0 0.0
TAILS PLAY/TAILS.md3 3.0 0.0

EGR1 BOSS/EGR1.md3 3.0 0.0
SEBH BOSS/SEBH.md3 3.0 0.0
BRAK BOSS/BRAK.md3 3.0 0.0
EGGM BOSS/EGGM.md3 3.0 0.0
EGGN BOSS/EGGN.md3 3.0 0.0
EGGO BOSS/EGGO.md3 3.0 0.0
EGGP BOSS/EGGP.md3 3.0 0.0
METL BOSS/METL.md3 3.0 0.0
TANK BOSS/TANK.md3 3.0 0.0

ARCH ENMY/ARCH.md3 3.0 0.0
BMNE ENMY/BMNE.md3 3.0 0.0
BRKN ENMY/BRKN.md3 3.0 0.0
BUMB ENMY/BUMB.md3 3.0 0.0
BUZZ ENMY/BUZZ.md3 3.0 0.0
CACO ENMY/CACO.md3 3.0 0.0
CANA ENMY/CANA.md3 3.0 0.0
CBBS ENMY/CBBS.md3 4.8 0.0
CBFS ENMY/CBFS.md3 4.8 0.0
CCOM ENMY/CCOM.md3 4.5 0.0
CR2B ENMY/CR2B.md3 3.0 0.0
CRAB ENMY/CRAB.md3 3.0 0.0
CSTA ENMY/CSTA.md3 3.0 0.0
DETN ENMY/DETN.md3 3.0 0.0
DRAB ENMY/DRAB.md3 3.0 0.0
ESHI ENMY/ESHI.md3 7.0 0.0
FAKE ENMY/FAKE.md3 3.0 0.0
FISH ENMY/FISH.md3 3.0 0.0
GSNH ENMY/GSNH.md3 3.0 0.0
GSNL ENMY/GSNL.md3 3.0 0.0
GSNP ENMY/GSNP.md3 3.2 0.0
HBAT ENMY/HBAT.md3 3.0 0.0
HIVE ENMY/HIVE.md3 3.0 0.0
JETB ENMY/JETB.md3 3.0 0.0
JETG ENMY/JETG.md3 3.0 0.0
JJAW ENMY/JJAW.md3 1.9 0.0
MEDR ENMY/MEDR.md3 3.0 0.0
MNUS ENMY/MNUS.md3 3.0 0.0
PENG ENMY/PENG.md3 3.0 0.0
